GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401199,1610612757,POR,Portland,1631101.0,Shaedon Sharpe,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1629014.0,Anfernee Simons,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,,,,,240:00,,17.16,36,55,86,373,4,1,254,21,12,30,0.4,19,50,0.38,0.388,24,39,0.615,0022401199,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:27.329244,Lakers
0022401199,1610612757,POR,Portland,,,,,240:00,,17.77,48,61,106,439,4,3,310,27,18,43,0.419,24,53,0.453,0.438,15,25,0.6,0022401199,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:27.329244,Trail Blazers
0022401197,1610612761,TOR,Toronto,1642419.0,Jamison Battle,F,,42:21,4.36,3.28,1,12,13,61,0,0,41,3,0,2,0.0,9,17,0.529,0.473,5,7,0.714,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1630567.0,Scottie Barnes,F,,36:34,4.41,2.87,5,11,16,91,1,2,60,8,7,10,0.7,8,13,0.615,0.652,4,4,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1642367.0,Jonathan Mogbo,C,,34:55,4.24,2.63,8,13,20,60,0,0,43,10,1,3,0.333,3,11,0.273,0.285,4,5,0.8,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1630534.0,Ochai Agbaji,G,,37:31,4.58,3.05,3,5,8,55,0,0,36,1,1,4,0.25,5,11,0.455,0.4,2,3,0.667,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1642347.0,Jamal Shead,G,,36:13,4.04,2.6,4,4,8,84,0,1,62,9,2,5,0.4,2,7,0.286,0.333,2,2,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1630658.0,Colin Castleton,,,29:16,4.21,2.21,2,1,3,36,0,0,29,0,5,5,1.0,0,2,0.0,0.713,4,6,0.667,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
