gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630567.0,Scottie,Barnes,S. Barnes,scottie-barnes,F,,4,36:34,4,4,8,20,12,10,15,44,0,0,0,2,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642367.0,Jonathan,Mogbo,J. Mogbo,jonathan-mogbo,C,,2,34:55,0,2,0,6,13,9,13,40,0,0,3,1,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630534.0,Ochai,Agbaji,O. Agbaji,ochai-agbaji,G,,30,37:31,2,0,2,8,10,10,13,40,1,1,5,1,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642347.0,Jamal,Shead,J. Shead,jamal-shead,G,,23,36:13,0,3,3,4,11,10,12,40,0,1,3,4,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630658.0,Colin,Castleton,C. Castleton,colin-castleton,,,11,29:16,4,0,2,10,7,1,9,36,0,0,6,2,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630639.0,A.J.,Lawson,A. Lawson,aj-lawson,,,0,21:18,5,0,7,4,9,1,7,32,0,0,1,3,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,202066.0,Garrett,Temple,G. Temple,garrett-temple,,,17,1:52,0,0,0,0,0,0,3,6,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1629628.0,RJ,Barrett,R. Barrett,rj-barrett,,DND - Rest,9,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1628449.0,Chris,Boucher,C. Boucher,chris-boucher,,DND - Injury/Illness,25,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630193.0,Immanuel,Quickley,I. Quickley,immanuel-quickley,,DND - Rest,5,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
