GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Last 30 SEC | +/- 3 PTS,2024-25,12,5,7,0.417,4.44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,9,2025-08-10T12:55:28.524302
Last 10 SEC | +/- 3 PTS,2024-25,9,4,5,0.444,1.7266666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,4,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByClutch,10,2025-08-10T12:55:28.524302
Overall,2024,5,0,5,0.0,111.11333333333333,20,62,0.323,10,31,0.323,6,10,0.6,4,13,17,14,12,3,2,5,12,9,56,-33,100.4,0,0,107.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByClutch,0,2025-08-10T12:55:33.367379
Overall,2024-25,49,20,29,0.408,1209.7233333333334,184,447,0.412,63,183,0.344,54,66,0.818,19,116,135,151,88,30,8,43,102,61,500,-126,914.5,0,0,925.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,4,1642358,PlayerDashboardByClutch,0,2025-08-10T12:55:33.367379
Last 5 MIN <= 5 PTS,2024,1,0,1,0.0,1.3666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,-1,0.2,0,0,1.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1642358,PlayerDashboardByClutch,1,2025-08-10T12:55:33.367379
Last 5 MIN <= 5 PTS,2024-25,7,3,4,0.429,15.756666666666666,4,5,0.8,1,2,0.5,1,1,1.0,0,0,0,1,1,1,0,0,1,1,11,2,14.5,0,0,15.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,1,2025-08-10T12:55:33.367379
Last 3 MIN <= 5 PTS,2024,1,0,1,0.0,0.4166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-1,-1.0,0,0,0.0,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1642358,PlayerDashboardByClutch,2,2025-08-10T12:55:33.367379
Last 3 MIN <= 5 PTS,2024-25,7,3,4,0.429,10.206666666666667,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,1,1,0,0,0,0,5,-3,8.5,0,0,9.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1642358,PlayerDashboardByClutch,2,2025-08-10T12:55:33.367379
Last 1 MIN <= 5 PTS,2024-25,5,2,3,0.4,5.04,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,1,5.0,0,0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,3,2025-08-10T12:55:33.368378
Last 30 SEC <= 3 PTS,2024-25,4,2,2,0.5,3.095,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,0,0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,4,2025-08-10T12:55:33.368378
Last 10 SEC <= 3 PTS,2024-25,4,2,2,0.5,1.365,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,5,2025-08-10T12:55:33.368378
Last 5 MIN | +/- 5 PTS,2024,1,0,1,0.0,1.3666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,-1,0.2,0,0,1.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByClutch,6,2025-08-10T12:55:33.368378
Last 5 MIN | +/- 5 PTS,2024-25,11,7,4,0.636,28.465,4,7,0.571,1,2,0.5,1,1,1.0,0,4,4,3,1,1,0,0,3,1,11,-7,22.3,0,0,21.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1642358,PlayerDashboardByClutch,6,2025-08-10T12:55:33.368378
Last 3 MIN | +/- 5 PTS,2024,1,0,1,0.0,0.4166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-1,-1.0,0,0,0.0,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1642358,PlayerDashboardByClutch,7,2025-08-10T12:55:33.368378
Last 3 MIN | +/- 5 PTS,2024-25,11,7,4,0.636,19.998333333333335,2,5,0.4,1,2,0.5,0,0,0.0,0,4,4,3,1,1,0,0,2,0,5,-5,16.3,0,0,15.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1642358,PlayerDashboardByClutch,7,2025-08-10T12:55:33.368378
Last 1 MIN | +/- 5 PTS,2024-25,9,6,3,0.667,9.031666666666666,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,2,0,5,0,6.5,0,0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,8,2025-08-10T12:55:33.369380
Last 30 SEC | +/- 3 PTS,2024-25,4,2,2,0.5,6.076666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,3,-2,3.0,0,0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,9,2025-08-10T12:55:33.369380
Last 10 SEC | +/- 3 PTS,2024-25,4,2,2,0.5,4.1866666666666665,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-5,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1642358,PlayerDashboardByClutch,10,2025-08-10T12:55:33.369380
Overall,2024-25,51,33,18,0.647,1446.7166666666667,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,73,23,14,37,82,137,748,301,1328.4,3,0,1308.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,0,2025-08-10T12:55:38.898952
Last 5 MIN <= 5 PTS,2024-25,18,10,8,0.556,53.91166666666667,7,13,0.538,4,9,0.444,10,13,0.769,4,4,8,5,0,0,0,0,3,7,28,46,45.1,2,0,45.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,1,2025-08-10T12:55:38.898952
Last 3 MIN <= 5 PTS,2024-25,17,10,7,0.588,34.32833333333333,5,11,0.455,4,9,0.444,4,5,0.8,2,3,5,4,0,0,0,0,3,3,18,40,30.0,2,0,31.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,2,2025-08-10T12:55:38.898952
Last 1 MIN <= 5 PTS,2024-25,15,9,6,0.6,14.861666666666666,2,6,0.333,2,5,0.4,1,1,1.0,2,1,3,2,0,0,0,0,1,1,7,33,13.6,2,0,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,3,2025-08-10T12:55:38.898952
Last 30 SEC <= 3 PTS,2024-25,13,7,6,0.538,6.695,0,2,0.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,12,3.6,2,0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,4,2025-08-10T12:55:38.898952
Last 10 SEC <= 3 PTS,2024-25,11,6,5,0.545,2.72,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,1.2,2,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,5,2025-08-10T12:55:38.898952
Last 5 MIN | +/- 5 PTS,2024-25,20,12,8,0.6,88.5,10,19,0.526,5,12,0.417,17,21,0.81,8,6,14,9,0,1,0,0,3,12,42,41,75.3,2,0,72.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,6,2025-08-10T12:55:38.898952
Last 3 MIN | +/- 5 PTS,2024-25,19,12,7,0.632,57.85,7,15,0.467,4,10,0.4,11,13,0.846,6,4,10,4,0,0,0,0,3,8,29,27,47.0,2,0,47.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByClutch,7,2025-08-10T12:55:38.898952
