GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Period,5,1,1,0,1.0,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,6,1.5,0,0,1.0,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,1,1,5,1,1631260,PlayerDashboardByGameSplits,2,2025-08-10T12:49:58.760274
By Score Margin,Tied,54,32,22,0.593,94.37666666666667,7,22,0.318,5,17,0.294,0,0,0.0,1,8,9,7,4,3,0,0,12,1,19,-38,45.3,0,0,46.0,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,1,2,6,6,5,6,1,1,6,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Score Margin,1 - 5 Points,66,39,27,0.591,627.1883333333334,71,160,0.444,62,140,0.443,5,7,0.714,5,66,71,39,10,12,3,3,60,13,209,107,387.7,0,0,411.0,2,2,5,6,1,1,1,3,1,1,3,2,1,4,1,1,1,1,2,1,1,6,6,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Score Margin,6 - 10 Points,69,42,27,0.609,392.71,47,107,0.439,41,92,0.446,7,7,1.0,4,36,40,20,11,6,2,0,31,13,142,82,233.0,0,0,259.0,1,1,5,4,2,2,2,4,2,2,2,1,1,1,2,2,2,2,1,3,2,1,5,1,2,3,2,1,1,2,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Score Margin,11 - 15 Points,57,36,21,0.632,261.8066666666667,21,56,0.375,18,48,0.375,3,5,0.6,3,17,20,19,8,8,1,0,26,8,63,102,134.5,0,0,138.0,3,3,3,3,3,4,3,5,4,3,5,4,3,5,3,3,3,3,3,2,3,1,4,4,4,2,3,1,1,3,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Score Margin,16 - 20 Points,44,28,16,0.636,182.25166666666667,23,51,0.451,19,44,0.432,3,3,1.0,3,17,20,14,5,6,1,0,22,13,68,25,129.0,0,0,135.0,5,5,2,2,4,3,4,2,3,4,4,4,5,1,3,3,3,4,4,3,3,1,3,1,3,4,4,1,1,4,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Score Margin,more than 20 Points,26,19,7,0.731,100.80833333333334,13,28,0.464,10,22,0.455,4,5,0.8,2,12,14,9,2,2,0,0,6,2,40,-51,74.3,0,0,77.0,6,6,1,1,5,5,5,1,5,5,1,3,3,3,5,5,5,5,6,6,5,1,1,5,5,6,5,1,1,5,1,1631260,PlayerDashboardByGameSplits,3,2025-08-10T12:49:58.760274
By Actual Margin,Behind more than 20 Points,8,1,7,0.125,28.17,4,7,0.571,3,6,0.5,0,0,0.0,0,2,2,5,1,0,0,0,2,0,11,4,19.9,0,0,21.0,11,11,4,11,11,11,11,2,11,11,2,9,9,9,10,11,11,10,9,10,5,1,1,11,11,6,11,1,1,11,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Behind 16 - 20 Points,19,5,14,0.263,58.61,10,17,0.588,10,16,0.625,2,2,1.0,0,8,8,6,0,0,1,0,5,5,32,53,53.6,0,0,58.0,9,10,6,10,10,7,10,1,6,9,1,6,6,1,10,8,10,9,11,10,3,1,3,5,7,4,9,1,1,8,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Behind 11 - 15 Points,31,12,19,0.387,114.16333333333333,9,25,0.36,7,20,0.35,0,0,0.0,1,9,10,12,3,3,0,0,10,4,25,56,61.0,0,0,60.0,6,9,7,9,7,8,7,10,8,7,9,9,9,9,6,6,7,3,6,5,5,1,4,7,9,3,7,1,1,7,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
