gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641739.0,Toumani,Camara,T. Camara,toumani-camara,F,,,21:37,5,7,0.714,4,6,0.667,0,0,0.0,2,4,6,4,0,0,1,3,14,28.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1642270.0,Donovan,Clingan,D. Clingan,donovan-clingan,C,,,24:40,6,10,0.6,0,0,0.0,0,4,0.0,8,4,12,3,1,2,1,3,12,28.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629680.0,Matisse,Thybulle,M. Thybulle,matisse-thybulle,G,,,29:09,5,11,0.455,3,5,0.6,2,7,0.286,4,1,5,2,2,1,1,2,15,27.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630625.0,Dalano,Banton,D. Banton,dalano-banton,G,,,36:17,8,22,0.364,4,12,0.333,3,4,0.75,1,4,5,7,1,0,3,2,23,30.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641712.0,Rayan,Rupert,R. Rupert,rayan-rupert,,,,27:37,5,10,0.5,2,6,0.333,1,1,1.0,1,9,10,1,1,1,2,5,13,1.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631321.0,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,,29:01,3,7,0.429,0,4,0.0,1,1,1.0,2,0,2,4,1,1,2,0,7,7.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631303.0,Justin,Minaya,J. Minaya,justin-minaya,,,,18:29,2,5,0.4,1,3,0.333,0,0,0.0,3,0,3,2,1,0,2,1,5,-3.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631133.0,Jabari,Walker,J. Walker,jabari-walker,,,,23:20,4,9,0.444,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,0,10,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630166.0,Deni,Avdija,D. Avdija,deni-avdija,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,203924.0,Jerami,Grant,J. Grant,jerami-grant,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
