GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Days Rest,6+ Days Rest,2,1,1,0.5,47.916666666666664,3,11,0.273,3,10,0.3,0,0,0.0,1,4,5,2,0,1,0,1,6,1,9,13,21.0,0,0,21.0,5,6,2,4,5,6,5,6,6,5,6,4,4,4,4,5,5,5,6,4,4,4,2,5,6,4,5,1,1,5,1,1631260,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:26.149839
Overall,2024,5,0,5,0.0,111.11333333333333,20,62,0.323,10,31,0.323,6,10,0.6,4,13,17,14,12,3,2,5,12,9,56,-33,100.4,0,0,107.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByGeneralSplits,0,2025-08-10T12:51:31.719387
Overall,2024-25,49,20,29,0.408,1209.7233333333334,184,447,0.412,63,183,0.344,54,66,0.818,19,116,135,151,88,30,8,43,102,61,500,-126,914.5,0,0,925.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,4,1642358,PlayerDashboardByGeneralSplits,0,2025-08-10T12:51:31.719387
Location,Home,24,8,16,0.333,577.8933333333333,90,215,0.419,29,75,0.387,29,36,0.806,11,66,77,58,43,11,6,19,55,30,241,-100,428.4,0,0,439.0,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,4,1642358,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:31.719387
Location,Road,30,12,18,0.4,742.9433333333334,114,294,0.388,44,139,0.317,31,40,0.775,12,63,75,107,57,22,4,29,59,40,315,-59,586.5,0,0,593.0,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1642358,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:31.719387
Wins/Losses,Wins,20,20,0,1.0,509.0933333333333,84,190,0.442,30,72,0.417,20,23,0.87,7,57,64,77,44,16,5,15,41,25,227,128,438.3,0,0,440.0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,4,1642358,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:31.719387
Wins/Losses,Losses,34,0,34,0.0,811.7433333333333,120,319,0.376,43,142,0.303,40,53,0.755,16,72,88,88,56,17,5,33,73,45,329,-287,576.6,0,0,592.0,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,4,1642358,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:31.719387
Month,October,3,1,2,0.333,6.35,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,2,6,3.2,0,0,3.0,6,4,3,4,6,7,6,6,7,7,7,6,6,6,6,6,6,7,8,6,5,3,1,6,7,2,7,1,1,7,1,1642358,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:31.719387
Month,November,1,1,0,1.0,1.9333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,-1,0.5,0,0,1.0,7,4,1,1,8,8,8,8,7,7,7,6,6,6,6,8,8,6,6,6,5,1,1,6,8,4,8,1,1,8,1,1642358,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:31.719387
Month,December,1,1,0,1.0,2.4166666666666665,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,5,5,5.2,0,0,7.0,7,4,1,1,7,6,6,1,6,6,1,6,6,6,6,6,6,7,6,6,5,1,1,6,6,3,6,1,1,6,1,1642358,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:31.719387
