GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024-25,1612709927,WIS,2025-02-01T00:00:00,15,9,6,0.6,421.87,73,170,0.429,26,62,0.419,14,20,0.7,9,50,59,53,42,12,4,19,34,24,198,20,354.3,0,0,368.0,2,1,4,1,2,2,2,2,1,2,2,2,2,3,1,1,1,2,1,1,1,5,4,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
Overall,2024,1610612749,MIL,2024-07-20T00:00:00,5,0,5,0.0,111.11333333333333,20,62,0.323,10,31,0.323,6,10,0.6,4,13,17,14,12,3,2,5,12,9,56,-33,100.4,0,0,107.0,4,5,3,5,4,4,4,5,4,3,4,4,3,4,3,4,3,4,3,4,3,2,2,4,4,4,4,1,1,4,1,1642358,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:41.601304
By Year,2025,1610612764,WAS,2025-07-16T00:00:00,4,1,3,0.25,106.72833333333334,24,50,0.48,3,16,0.188,13,16,0.813,2,15,17,5,9,2,0,5,9,14,64,-30,88.9,0,0,93.0,6,5,2,4,5,4,5,1,5,5,6,3,3,3,4,3,3,6,5,5,5,2,2,3,4,4,5,1,1,5,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024-25,-1,TOT,2025-04-13T00:00:00,49,20,29,0.408,1209.7233333333334,184,447,0.412,63,183,0.344,54,66,0.818,19,116,135,151,88,30,8,43,102,61,500,-126,914.5,0,0,925.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024-25,1610612764,WAS,2025-04-13T00:00:00,22,4,18,0.182,594.6366666666667,74,194,0.381,21,85,0.247,31,35,0.886,8,44,52,69,31,11,3,15,50,26,200,-165,376.9,0,0,370.0,1,2,6,5,1,1,1,5,2,1,5,1,1,2,2,2,2,1,2,2,2,5,6,1,1,6,1,1,1,1,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024-25,1612709928,CCG,2025-03-12T00:00:00,5,3,2,0.6,149.46666666666667,29,64,0.453,13,31,0.419,8,9,0.889,2,15,17,22,11,6,1,6,18,10,82,6,145.4,0,0,148.0,4,4,1,1,3,3,3,2,3,3,2,4,5,1,4,3,3,3,4,3,4,4,4,4,3,3,3,1,1,3,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024-25,1610612749,MIL,2025-02-03T00:00:00,7,4,3,0.571,43.75,8,19,0.421,3,5,0.6,1,2,0.5,0,7,7,7,4,1,0,3,0,1,20,13,37.9,0,0,39.0,3,2,2,3,6,6,6,4,5,6,1,6,6,6,6,6,6,5,6,6,5,1,1,6,6,2,6,1,1,6,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024-25,1612709927,WIS,2025-02-01T00:00:00,15,9,6,0.6,421.87,73,170,0.429,26,62,0.419,14,20,0.7,9,50,59,53,42,12,4,19,34,24,198,20,354.3,0,0,368.0,2,1,5,1,2,2,2,3,1,2,2,2,2,4,1,1,1,2,1,1,1,6,5,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
By Year,2024,1610612749,MIL,2024-07-20T00:00:00,5,0,5,0.0,111.11333333333333,20,62,0.323,10,31,0.323,6,10,0.6,4,13,17,14,12,3,2,5,12,9,56,-33,100.4,0,0,107.0,4,6,4,6,4,5,4,6,4,3,4,5,4,5,3,5,3,4,3,4,3,2,3,5,5,5,4,1,1,4,1,1642358,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:41.601304
Overall,2024-25,1610612743,DEN,2025-04-13T00:00:00,51,33,18,0.647,1446.7166666666667,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,73,23,14,37,82,137,748,301,1328.4,3,0,1308.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,203932,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:47.007015
